Company,Description,Job,Location,Salary,Company Categories,Job Type,Job Title
inspiratia,"Previous experience as a data analyst or relevant quantitative role.A passion for data entry, mining & analysis.Proficiency in Excel and Word.",Data Analyst,London,25000,environment,nan,data analyst
BlackLion Law,Analyse and interpret data using statistical techniques.Rigorously interrogate data and the underlying assumptions.Knowledge of CRM will be advantageous.,Data Analyst,London,20000,law,nan,data analyst
Ampersand Consulting,"Experience of analyzing large and complex data sets to produce business results or recommendations.Experience in gathering, recording and interpreting data,…","Data Analyst (Excel, SQL, Data)",London,25500,consult,nan,data analyst
Lifeways,Support consolidation and cleanse of the Group’s property data and propose processes for maintaining data integrity.Position Type: Permanent / Full-Time.,Business Data Analyst,London,55000,healthcare,nan,data analyst
Metrica Recruitment,"Will have at least 3 years of financial services based, data science experience.This is an opportunity for someone comfortable and capable of working in a…",FinTech Lead Data Scientist,London,70000,recruiter,upper,data scientist
Research Grid Ltd,Plan and manage data projects.Ensure data quality and integrity.Interpret and analyze data problems.Visualize data and create reports.,Machine Learning Engineer,London,41400,education,nan,engineer
Guru Systems,You will take stewardship of Guru’s data (including metadata) and support our developers in their work to create robust and appropriate data storage solutions.,Data Analyst,London,42500,environment,nan,data analyst
Church International Ltd.,Looking for a data analyst with 1-2 years of general experience.No need for any university degree however is advantageous.,Junior Data Analyst,London,30000,recruiter,entry,data analyst
Harnham,"Pulling data from databases using SQL.Analysing user interaction, transactional and website data to tie back to user intentions.Experience with SQL or Python.",Junior Data Analyst,London,25000,recruiter,entry,data analyst
Picked.ai,"Providing technical expertise on data storage structures, data mining, and data cleansing.Work experience as a data analyst or in related field.",Data Analyst,London,35000,tech,nan,data analyst
Urban Empire Recruitment,Knowledge of code in relation to data manipulation and analysis.Document and provide employees with resources on how data works within the company.,Data Analyst,London,35000,recruiter,nan,data analyst
33N,Engineer new features for models from raw data.Skilled in creating compelling data visualisation to communicate complex analytical findings.,Data Scientist,London,45000,healthcare,nan,data scientist
Bank of England,"Experience automating and improving processes through the application of data science.Explore and visualize a wide variety of data, to find and present …",Data Scientist - PRA Data Innovation,London,38250,finance,nan,data scientist
digital gut per Forfirm,Identify new internal and external data sources to support analytics initiatives and work with appropriate partners to absorb the data into new or existing data…,Data Scientist,London,67500,tech,nan,data scientist
Bank of England,"Experience working with granular, messy and/or textual data.Advanced Analytics (AA) exists to help the Bank make creative use of new data sources and…",Research Data Scientist,London,57000,finance,nan,data scientist
kdr Recruitment,"Data Analyst | London | £38,000 – £42,000 per year.This non-profit organisation provide support to children globally addressing sensitive areas of poverty,…",Data Analyst – London,London,40000,recruiter,nan,data analyst
Mason Blake,Identifying ways for internal clients to efficiently and directly access client reporting data.1-3 years’ experience within an asset management house working…,Performance Data Analyst,London,45000,recruiter,nan,data analyst
Bobtrade,To coordinate the process and quality checks of data uploads.To be able to automate the handling and manipulation of large data sets.,Data Analyst at Bobtrade.com,London,27500,finance,nan,data analyst
Inspiring Interns,The position involves coordinating with the broader analyst team to collect data and produce appropriate reporting.Experience in data analysis and reporting.,Junior Data Analyst,London,24000,recruiter,entry,data analyst
Financial Conduct Authority,"As a Senior Associate data scientist in the Enforcement DSU within the Intelligence team, you will get the opportunity to work with varied and unique data sets…",Senior Associate Data Scientist - Enforcement,London,53500,finance,upper,data scientist
Respect Consulting Group,"The role will involve data analysis of processes and data flows, modelling of new data flows, data integration and enrichment, management of complex data…",Data Analyst,London,57500,consult,nan,data analyst
MBN Solutions,Promotions Analyst (Remote Interviews Available)*.MBN’s client a leading Gaming business are in search of a Promotions Data Analyst to join their established…,Promotions Analyst,London,40000,recruiter,nan,analyst (other)
Financial Conduct Authority,"Experience with data visualization and dashboard tools (e.g. Matplotlib, R Shiny, Tableau).Experience in applying data science techniques and methods to…",Data Scientist (Senior Associate),London,53500,finance,upper,data scientist
Michael Page UK,Experience working with large sets of data.Data cleansing and presenting large data sets from exchanges into an analysable/presentable model.,Data Scientist - Energy Trading,London,80000,recruiter,nan,data scientist
Michael Page UK,You will also use visualisation tools such as Power BI to bring the data to life visualise data.As a data analyst you will have good knowledge and…,Data Analyst,London,31500,recruiter,nan,data analyst
Sentinel,"You will be responsible for owning the data and analytics area of the business and will lead in a large data transformation piece, helping our client to really…",Data Analyst - Tableau / Looker,London,57500,recruiter,nan,data analyst
